,id,review,functionality,range_anxiety,availability,cost,ui,location,service_time,dealership
8113,81316,Works great charging now.,1,0,0,0,0,0,0,0
6839,143665,"Burgandy Leaf here as usual, so i unplugged to charge for 30, but don't come here because it looks like the Burgundy leaf aint going nowhere for awhile",0,0,1,0,0,0,0,1
2165,256496,Only one here. All is well. ,1,0,1,0,0,0,0,0
4463,201794,The right port is operational but the left one can't connect because the green inner gasket is jammed up.  I'll email the village as this happened at the Marion St. Garage station as well and it got fixed within a month.,1,0,0,0,0,0,0,0
8330,76533,9.4 kW in 20 minutes with level3,1,0,0,0,0,0,1,0
121,306948,"No J1772 Plug. 
Only fast chargers:(

Royal Farms Thank you for being EV friendly, but would you please add a J1772 plug for the non fast charger electric vehicles.
Thank you !!!",1,0,0,0,0,0,0,1
1679,269179,"Had to call nrg to get it to run, but then, no problem!  They said the RFID might not be working.  Thx Gwinnett Place Nissan!",1,0,0,0,0,0,0,1
7586,107160,"Peak charging power: 30 amps, 240 volts",1,0,0,0,0,0,0,0
2285,253166,First thing in the morning and still no charge on this solar powered station ,1,0,0,0,0,0,0,0
5136,184376,Kept saying my battery is full at 0%,1,1,0,0,0,0,0,0
64,308361,"network problems, and power looked like it was off....confusing.",1,0,0,0,0,0,0,0
7123,137471,Perfectly located. Came 70 miles from Rochdale. GOM still showed 37 miles when I got here. Brattleboro next.,0,1,0,0,0,1,0,0
1436,275383,"Was able to DC fast charge just fine, note need NRGEVGO card as NO cell or any signals in garage !",1,0,0,0,1,0,0,0
4627,197303,I'm the black leaf. You can unplug me when I'm done charging (blue lights off on dash). ,0,0,0,0,1,0,0,0
2313,252453,no problems,1,0,0,0,0,0,0,0
9654,50688,All spots full on my last four visits,0,0,1,0,0,0,0,0
1269,278750,Try charging at 4 Research Dr. They seem to have updated the system to full power. ,1,0,0,0,0,0,0,0
1399,276252,Glad it's back in service!,1,0,0,0,0,0,0,0
2641,243865,Thanks.,0,0,0,0,0,0,0,0
7872,86353,"Two leafs parked in the spaces all day, both were done charging within an hour after parking but stay all day =o( Had to squeeze in at an angle to charge",0,0,1,0,1,0,0,1
1412,275885,Chomo down not working ,1,0,0,0,0,0,0,0
6728,146459,Thanks Simon malls!,0,0,0,0,0,1,0,0
4940,188669,Both spots taken @4:24pm,0,0,1,0,0,0,0,0
8980,63332,"I stopped by this site to check it out, because it had been showing up as busy in the Chargepoint system for WEEKS.  Every time I looked it showed busy.  When I got there a Ford Fusion Energi was plugged in, and according to the EVSE it had been plugged in for nearly 10 hours, and was obviously fully charged.  As I was there the owner walked up to leave and said he and another local worker (with a Nissan Leaf) are tag teaming on the charger, so it will frequently indicate busy.  However if they are charged up you should be OK to unplug.  I gave him a printed copy of the *excellent* PlugInAmerica charging etiquette dashboard card ( http://www.pluginamerica.org/evcard ) so he can indicate to other EV arrivals that they can unplug him.  I also left some more cards at the station.",0,0,1,0,1,1,0,1
4445,202070,Plugged into the standalone quick charger.,0,0,0,0,1,0,0,0
7215,133774,"working well today.  looks like it is free, too.",1,0,0,1,0,0,0,0
2568,245795,Needs a simple cone.,0,0,0,0,0,1,0,0
800,289245,"A bit odd.  Two dual chargers - charge-point card used and it did not release the handsets, so called for help.  They reset the unit, and after about five minutes, released the handle.  However, after more than an hour, it said 3.6xx kWh, and only read 12% battery in my C-Max Energi, which should have been over 50%.  Something not quite right here.  Good luck!",1,0,0,0,0,0,1,1
1019,283961,Says it can do 69 amps,0,0,0,0,0,0,1,0
6057,161870,Only one visible directly in front of the showroom between two parking spots on an island,0,0,0,0,1,1,0,0
9072,61412,"We rented an Airstream trailer overnight here and they let us charge our Telsa Model S overnight for free. Great amenities, see their website. Easy walking distance to the Circus Circus Resort Casino.",1,0,0,0,0,1,0,0
6158,159320,I had trouble with the last 2 Level 2 Chargers (furthest away from the DCFC charger).  I kept getting an error reading Blink card message.  A Nissan Leaf driver also showed up and had trouble getting his Leaf to fast charge on the DCFC.,1,0,0,0,0,0,0,1
1612,270859,"Simon Mall employees may be confused. The No Charge To Charge program has just come to Boston, and for those buying certain EVs now, these stations are free to use for a limited time. Not for everyone else. Sorry. The folks with 3.3 kW OBCs have a valid gripe as they'd be paying twice what the cars with 6.6 kW and higher OBCs are. Especially since NRG can now charge by the kWh in MA. With a 6.6, on the Flex plan, it's about the same per kWh as what National grid was charging this winter. The QCs are still pricey, but it's good to have more of them. ",1,0,0,1,0,0,0,0
2246,254040,Level 3 couldn't charge Tesla.,1,0,0,0,0,0,0,1
2042,259692,"The reason why they are taken off chargepoint isn't becasue they dont care anymore it is a couple of things,  1: they updated the system and some of the old units don't show up. 2: chargepoint charges locations a fee to have it show up on the app or map when they updated the app some time ago, i have fav spots that are not on the map app anymore.  consumers cares look up north by gaylord mi, they put in 2 chargepoint stations with 4 level 2 plugs!!! this is in the middle of no where and it helps a ton when i go up north for work.  ",1,0,1,0,0,1,0,0
4976,187864,Great place!,0,0,0,0,0,1,0,0
2862,238334,charging right now while the second spot is being ICE'd by a Volvo...,0,0,1,0,0,0,0,0
1281,278649,"Another Tesla owner reports:  ""I had called Tesla ahead of time and the assured me that they were working with the airport to make sure the Supercharger stalls remain available during construction and it looks like they're being true to their word.""",0,0,0,0,1,1,0,1
9151,60200,"The charging station is on the first floor roped off.  I called Tesla Topanga store and they said sure, go ahead and move the ropes to side.  They also came out and let me use a roadster to model s converter.  I didnt notice any Model S charging plugs, only roadster ones.  I had a quick lunch with my friend and returned the converter to the Tesla store.  Very friendly staff and nice parking spot.    ",1,0,0,0,0,1,0,1
